Number,E,heat,time
HT100008,0.33,-3.71,345
HT100008,9.89,120.78,3830
HT100008,0.35,-4.27,318
HT100008,9.56,118.34,3739
HT100008,0.25,-2.53,250
HT100008,11.02,136.97,4302
HT100008,1.27,0,50453
HT100008,0.01,0.38,49
HT100008,220.71,2633.41,92926
HT100008,0.16,-0.9,164
HT100008,9.2,104.03,3859
HT100008,0.83,1.38,33320
HT100008,4.63,56.5,1795
HT100008,0.33,-4.47,297
HT100008,5.94,74.42,2373
HT100008,0.19,0,7980
HT100008,0.01,0.33,54
HT100008,5.34,68.46,2194
HT100008,0.24,1.32,9785
HT100008,9.48,121.58,3715
HT100008,0.34,-4.36,289
HT100008,7.57,99.32,3070
HT100008,0.19,0.12,7965
HT100008,0,0.83,9
HT100008,10.85,142.73,4283
HT100008,0.19,0.54,8084
HT100008,0,0,10
HT100008,12.43,165.47,4933
HT100008,0.29,-0.44,11580
HT100008,0.11,-0.06,175
HT100008,8.12,99.45,3165
HT100008,0.29,-3.92,280
HT100008,9.41,118.32,3671
HT100008,0.73,0.28,33524
HT100008,0,0,10
HT100008,18.97,247.13,7349
HT100008,0.98,0.1,46837
HT100008,0,0.78,10
HT100008,12.8,160.53,4977
HT100008,0.37,-3.11,344
HT100008,2.74,33.05,1150
HT100008,0.23,0.46,10005
HT100008,0,0,9
HT100008,10.69,132.73,4113
HT100008,0.35,-4.49,326
HT100008,7.81,98.43,3078
HT100008,0.32,-4.02,320
HT100008,8.09,100.96,3139
HT100008,0.34,-3.8,321
HT100008,8.77,106.25,3343
HT100008,0.29,-3.99,288
HT100008,6.6,81.75,2629
HT100008,0.21,0.38,9044
HT100008,0.03,0,10
HT100008,16.41,214.76,6343
HT100008,0.38,-3.95,314
HT100008,16.03,212.79,6312
HT100008,0.3,0.09,13844
HT100008,0.02,0.76,10
HT100008,9.86,124.37,3864
HT100008,0.29,0.52,12404
HT100008,0,0,10
HT100008,15.32,196.67,5933
HT100008,2.85,0.94,135302
HT100008,7.78,101.78,3235
HT100008,0.12,0.01,105
HT100008,14.4,191.19,5990
HT100008,0.05,-0.23,94
HT100008,76.81,954.55,30266
HT100008,1.09,0.54,45490
HT100008,10.11,134.69,4195
HT100008,0.05,-0.51,94
HT100008,63.35,843.95,24444
HT100008,3.01,0.49,141950
HT100008,81.37,1144.01,33480
HT100008,2.7,0.15,128922
HT100008,0,0.85,9
HT100008,33.78,456.54,13928
HT100008,0.06,0,93
HT100008,6.54,83.85,2740
HT100008,0.05,-0.56,94
HT100008,8.48,110.22,3623
HT100008,1.82,0.9,73141
HT100008,141.8,1736.33,59879
HT100008,1.99,0.84,76621
HT100008,6.08,69.29,2396
HT100008,0.35,-4.25,382
HT100008,7.15,81.84,2811
HT100008,0.41,-4.1,407
HT100008,7.45,87.05,2968
HT100008,0.45,-4.41,390
HT100008,6.91,85.82,2779
HT100008,0.26,0.08,10729
HT100008,0,0.73,10
HT100008,11.14,143.01,4257
HT100008,0.4,-3.99,348
HT100008,32.35,445.77,12407
HT100008,0.3,0.12,13893
HT100008,0.04,0.82,9
HT100008,6.45,81.13,2570
HT100008,0.21,0.1,8688
HT100008,0,0.79,10
HT100008,6.05,76.91,2420
HT100008,0.29,0.26,12168
HT100008,0,0,10
HT100008,11.55,152.21,4468
HT100008,0.26,0.16,11328
HT100008,0,0.88,10
HT100008,8.9,115.48,3533
HT100008,0.21,0.65,9408
HT100008,0.04,0,10
HT100008,12.76,169.37,4994
HT100008,0.31,0.54,13985
HT100008,12.49,167.64,4795
HT100008,0.38,-4.13,344
HT100008,10.6,142.31,4228
HT100008,0.36,-3.16,330
HT100008,8.45,112.26,3391
HT100008,0.38,-3.78,319
HT100008,8.84,115.81,3541
HT100008,0.21,0.8,9408
HT100008,0.05,0,10
HT100008,9.75,124.86,3826
HT100008,0.27,0.32,11568
HT100008,0,0,10
HT100008,21.18,275.76,8126
HT100008,0.94,0.6,52384
HT100008,145.21,2036.9,58919
HT100008,3.03,0.91,164007
HT100008,219.25,3035.33,90238
HT100008,0.53,0.14,21594
HT100008,0.02,0.77,10
HT100008,6.06,74.69,2726
HT100008,0.1,-1.33,120
HT100008,332.48,3829.98,134670
HT100008,0.65,0.99,27830
HT100008,6.02,73.19,2275
HT100008,0.4,-3.84,312
HT100008,6.76,82.28,2676
HT100008,0.22,0.4,8928
HT100008,0,0,10
HT100008,4.22,53.38,1743
HT100008,0.23,0.22,9649
HT100008,0,0,9
HT100008,7.44,97.74,2949
HT100008,0.63,0.29,28367
HT100008,0,0,10
HT100008,109.14,1570.98,41808
HT100008,2.1,1.53,146756
HT100008,64.99,1003.48,26340
HT100008,2.1,0.46,139748
HT100008,14.23,194.57,5640
HT100008,1.17,0.08,76825
HT100008,0,0.73,10
HT100008,45.37,665.46,18618
HT100008,2.16,1.42,145603
HT100008,236.13,3404.22,96479
HT100008,2.35,0.59,109724
HT100008,33.59,456.89,14040
HT100008,1.31,0.6,61847
HT100008,0,0,10
HT100008,20.36,268.64,8409
HT100008,0.25,0.72,9785
HT100008,19.29,249.61,8035
HT100008,0.44,-4.75,363
HT100008,31.1,377.42,12882
HT100008,0.49,-3.14,432
HT100008,33.28,406.03,13835
HT100008,1.18,0.37,46623
HT100008,5.36,63.64,2275
HT100008,0.31,-3.17,257
HT100008,16.68,202.79,7113
HT100008,0.55,-3.1,468
HT100008,81.07,813.37,30194
HT100008,0.43,-1.82,469
HT100008,17.84,154.89,6578
HT100008,0.95,0.5,37503
HT100008,48.72,390.92,18716
HT100008,0.44,-2.73,478
HT100008,24.87,183.87,9971
HT100008,0.46,-3.41,478
HT100008,18.62,132.89,7472
HT100008,0.41,-2.79,469
HT100008,2.33,15.69,1087
HT100008,0.37,0.63,11584
HT100008,14.61,108.18,5876
HT100008,0.47,-4.05,478
HT100008,13.67,104.19,5663
HT100008,0.45,-3.06,478
HT100008,11.24,84.32,4632
HT100008,0.45,-2.39,484
HT100008,11.15,80.49,4440
HT100008,0.47,-2.75,469
HT100008,5.64,40.42,2393
HT100008,0,0,5
HT100008,0.01,0,65
HT100008,0,0,52
HT100008,0.29,0.44,10624
HT100008,5.32,47.77,2276
HT100008,0.45,-4.89,478
HT100008,6.75,57.22,2921
HT100008,0.41,-3.45,469
HT100008,0.91,7.35,487
HT100008,0.24,0.33,8944
HT100008,10.82,97.15,4316
HT100008,0.5,-3.97,433
HT100008,7.58,79.75,3325
HT100008,0.36,1.07,99383
HT100008,56.79,793.6,24900
HT100008,1.03,0.68,143477
HT100008,75,1012.69,31680
HT100008,2.5,0.75,122822
HT100008,32.2,408.99,13704
HT100008,2.92,1.23,137102
HT100008,45.63,646.61,19200
HT100008,0.26,0.4,11589
HT100008,0.03,0,12
HT100008,17.5,240.72,7547
HT100008,2.82,0.59,134447
HT100008,0,0,11
HT100008,57.21,793.68,23582
HT100008,2.29,1.18,105423
HT100008,63.07,875.55,26279
HT100008,1.8,1.13,83704
HT100008,10.74,149.33,4560
HT100008,3.76,1.26,179100
HT100008,62.16,865.45,26040
