采集时间,环境湿度（%）,环境温度（℃）,设备启动数量（台）,供水温度（℃）,回水温度（℃）,瞬时流量（m3/h）,总制热量（GJ）,总耗电量（kW·h),机组耗电(kW·h）,热单耗（GJ/㎡）,电单耗(kW·h/m2）,系统COP,机组COP,除霜时间（s）,除霜次数,
2021-01-29 19时,39.68,2.84,4,38.65,36.98,48.6,0.34,33.6,32,0.01,0.78,2.81,2.95,,,
2021-01-29 20时,41.39,3.1,4,39.28,37.33,48.47,0.4,38.4,36,0.01,0.89,2.89,3.09,,,
2021-01-29 21时,48.18,3.29,3,38.91,37.29,48.55,0.33,30,27,0.01,0.69,3.06,3.4,,,
2021-01-29 22时,50.07,3.38,3,38.12,36.56,48.47,0.32,28.8,26,0.01,0.66,3.09,3.42,,,
2021-01-29 23时,52.09,3.41,4,37.87,36.07,48.29,0.37,34.8,32,0.01,0.8,2.95,3.21,,,
2021-01-30 00时,54.96,3.42,4,38.48,36.52,48.54,0.39,37.2,35,0.01,0.86,2.91,3.1,,,
2021-01-30 01时,58.13,2.89,4,38.94,36.99,48.61,0.38,37.2,35,0.01,0.86,2.84,3.02,,,
2021-01-30 02时,59.5,2.45,4,39.02,37.22,48.38,0.36,36,33,0.01,0.83,2.78,3.03,565,2,
2021-01-30 03时,58.18,2.2,4,38.88,37.11,48.5,0.36,37.2,35,0.01,0.86,2.69,2.86,278,1,
2021-01-30 04时,53.81,1.92,4,39.01,37.26,48.35,0.36,36,34,0.01,0.83,2.78,2.94,599,2,
2021-01-30 05时,40.36,2.33,4,39.01,37.15,48.48,0.38,37.2,35,0.01,0.86,2.84,3.02,,,
2021-01-30 06时,33.81,2.92,4,39.33,37.41,48.42,0.39,37.2,36,0.01,0.86,2.91,3.01,,,
2021-01-30 07时,28.77,3.26,4,39.65,37.7,48.43,0.38,37.2,36,0.01,0.86,2.84,2.93,,,
2021-01-30 08时,25.84,4.24,4,39.63,37.66,48.53,0.39,34.8,33,0.01,0.8,3.11,3.28,,,
2021-01-30 09时,8.57,5.33,1,35.74,34.63,48.38,0.22,13.2,11,0.01,0.3,4.63,5.56,,,
2021-01-30 10时,0,5.06,0,29.94,29.5,48.35,0.05,1.2,0,0,0.03,11.57,,,,
2021-01-30 11时,0,9.37,5,27.51,25.62,44.75,0.37,33.6,30,0.01,0.78,3.06,3.43,291,3,
2021-01-30 12时,0,8.84,6,30.54,27.76,49.42,0.55,46.8,44,0.01,1.08,3.26,3.47,,,
2021-01-30 13时,0,8.9,6,33.29,30.39,49.54,0.57,51.6,47,0.01,1.19,3.07,3.37,,,
2021-01-30 14时,0,8.9,6,35.9,32.97,49.75,0.59,54,49,0.01,1.25,3.03,3.34,,,
2021-01-30 15时,0,8.55,5,37.71,35.02,49.81,0.54,48,45,0.01,1.11,3.12,3.33,,,
2021-01-30 16时,0,7.04,5,38.23,35.72,49.83,0.5,45.6,42,0.01,1.05,3.05,3.31,,,
2021-01-30 17时,0,5.79,4,39.07,37.05,50,0.42,40.8,36,0.01,0.94,2.86,3.24,,,
2021-01-30 18时,0,5.42,3,38.92,37.45,50,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-01-30 19时,0,5.12,3,38.51,37.06,49.93,0.24,22.8,21,0.01,0.53,2.92,3.17,,,
2021-01-30 20时,0,5.31,3,38.26,36.82,49.99,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-01-30 21时,0,5.4,3,38.06,36.61,49.96,0.3,28.8,27,0.01,0.66,2.89,3.09,,,
2021-01-30 22时,0,5.55,3,37.82,36.35,49.96,0.31,28.8,26,0.01,0.66,2.99,3.31,,,
2021-01-30 23时,0,5.76,3,37.56,36.08,49.94,0.31,28.8,26,0.01,0.66,2.99,3.31,,,
2021-01-31 00时,0,5.56,3,37.31,35.85,50.02,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-01-31 01时,0,5.4,3,37.11,35.64,49.9,0.29,28.8,26,0.01,0.66,2.8,3.1,,,
2021-01-31 02时,0,4.93,3,37.02,35.47,49.85,0.32,31.2,29,0.01,0.72,2.85,3.07,,,
2021-01-31 03时,0,5.03,4,37.82,35.99,50.01,0.37,36,35,0.01,0.83,2.85,2.94,,,
2021-01-31 04时,0,5.18,4,38.61,36.79,49.86,0.37,34.8,34,0.01,0.8,2.95,3.02,,,
2021-01-31 05时,0,5.34,3,38.4,36.95,49.84,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-01-31 06时,0,5.37,3,37.99,36.52,49.96,0.3,28.8,26,0.01,0.66,2.89,3.21,,,
2021-01-31 07时,0,4.88,4,38.2,36.34,49.88,0.39,37.2,34,0.01,0.86,2.91,3.19,,,
2021-01-31 08时,0,5.14,4,38.38,36.39,49.76,0.41,39.6,35,0.01,0.91,2.88,3.25,,,
2021-01-31 09时,0,5.96,6,38.27,35.51,49.65,0.56,54,49,0.01,1.25,2.88,3.17,118,1,
2021-01-31 10时,0,7.18,6,39.05,36.14,49.75,0.59,54,51,0.01,1.25,3.03,3.21,226,2,
2021-01-31 11时,0,9.31,5,38.98,36.29,49.88,0.56,46.8,45,0.01,1.08,3.32,3.46,,,
2021-01-31 12时,0.41,8.78,5,38.84,36.1,48.24,0.52,45.6,44,0.01,1.05,3.17,3.28,,,
2021-01-31 13时,7.1,9.91,5,38.53,36.18,50.44,0,40.8,38,0,0.94,0,0,,,
2021-01-31 14时,18.73,9.58,4,37.2,34.87,30.99,347.03,26.4,25,8.01,0.61,"3,651.41","3,855.89",,,
2021-01-31 15时,24.91,8.89,3,35.55,34.2,30.79,347.33,18,16,8.02,0.42,"5,360.03","6,030.03",,,
2021-01-31 16时,30.51,7.2,6,35.83,33.29,50.68,0.52,50.4,48,0.01,1.16,2.87,3.01,,,
2021-01-31 17时,36.32,5.26,5,38.65,36.37,50.86,0.48,46.8,45,0.01,1.08,2.85,2.96,,,
2021-01-31 18时,34.32,4.79,3,39.38,37.7,50.73,0.34,33.6,31,0.01,0.78,2.81,3.05,,,
2021-01-31 19时,23.1,5.4,3,39,37.51,50.46,0.33,30,28,0.01,0.69,3.06,3.27,,,
2021-01-31 20时,21.31,5.43,3,38.74,37.27,50.56,0.31,28.8,27,0.01,0.66,2.99,3.19,,,
2021-01-31 21时,21.52,5.68,3,38.54,37.04,50.46,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-01-31 22时,25.11,5.92,3,38.34,36.82,50.15,0.32,30,28,0.01,0.69,2.96,3.17,,,
2021-01-31 23时,22.84,6.31,3,38.16,36.65,50.3,0.32,30,28,0.01,0.69,2.96,3.17,,,
2021-02-01 00时,22.67,6.18,3,38.02,36.5,50.4,0.32,31.2,28,0.01,0.72,2.85,3.17,,,
2021-02-01 01时,25.14,5.37,3,37.85,36.36,50.32,0.31,30,27,0.01,0.69,2.87,3.19,,,
2021-02-01 02时,24.18,5.18,3,37.75,36.27,50.42,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-02-01 03时,21.86,5.41,3,37.7,36.2,50.34,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-02-01 04时,23.49,4.97,3,37.68,36.18,50.37,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-02-01 05时,22.64,5.27,3,37.64,36.15,50.39,0.31,30,28,0.01,0.69,2.87,3.08,,,
2021-02-01 06时,34.62,2.39,4,37.72,36.09,50.13,0.34,36,34,0.01,0.83,2.62,2.78,,,
2021-02-01 07时,46.99,0.36,6,39.27,37,50.11,0.48,52.8,50,0.01,1.22,2.53,2.67,,,
2021-02-01 08时,39.61,1.47,4,40.26,38.16,50.14,0.44,43.2,41,0.01,1,2.83,2.98,,,
2021-02-01 09时,34.14,2.55,5,38.77,36.46,50.19,0.49,44.4,43,0.01,1.02,3.07,3.17,,,
2021-02-01 10时,31.49,3.66,6,39.37,36.59,50.05,0.58,57.6,54,0.01,1.33,2.8,2.98,,,
2021-02-01 11时,29.32,4.37,5,39.88,37.55,50.11,0.49,46.8,45,0.01,1.08,2.91,3.02,,,
2021-02-01 12时,27.21,4.57,4,38.88,36.83,50.2,0.43,38.4,37,0.01,0.89,3.11,3.23,,,
2021-02-01 13时,26.38,4.68,4,38.28,36.29,50.15,0.38,36,34,0.01,0.83,2.93,3.1,,,
2021-02-01 14时,28.79,4.04,5,38.64,36.37,50.15,0.44,43.2,41,0.01,1,2.83,2.98,,,
2021-02-01 15时,30.79,2.99,5,39.46,37.13,50.16,0.49,48,45,0.01,1.11,2.84,3.02,,,
2021-02-01 16时,34.07,1.64,5,39.81,37.55,50.11,0.47,48,46,0.01,1.11,2.72,2.84,,,
2021-02-01 17时,34.78,-0.15,5,40.76,38.9,50.1,0.24,27.6,28,0.01,0.64,2.42,2.38,,,
2021-02-01 18时,31.91,-1.68,4,41.14,39.5,,,,,,,,,,,
2021-02-01 19时,30.13,-2.67,4,41.19,39.56,,,,,,,,,,,
2021-02-01 20时,30.1,-3.46,4,41.01,39.42,,,,,,,,,,,
2021-02-01 21时,30.44,-3.85,3,40.22,38.98,,,,,,,,,,,
2021-02-01 22时,32.26,-3.89,3,39.32,38.07,,,,,,,,,,,
2021-02-01 23时,34.9,-4.28,4,38.61,37.19,,,,,,,,,,,
2021-02-02 00时,35.3,-4.79,5,39.15,37.31,,,,,,,,,,,
2021-02-02 01时,33.84,-5,5,40.08,38.2,,,,,,,,,,,
2021-02-02 02时,30.87,-5.11,4,40.57,38.88,,,,,,,,,,,
2021-02-02 03时,28.36,-5.27,4,40.32,38.75,,,,,,,,,,,
2021-02-02 04时,27.57,-5.48,4,40.05,38.5,,,,,,,,,,,
2021-02-02 05时,26.02,-5.28,4,39.87,38.3,,,,,,,,,,,
2021-02-02 06时,26.35,-5.34,4,39.78,38.16,,,,,,,,,,,
2021-02-02 07时,28.51,-5.53,6,41.08,38.89,,,,,,,,,,,
2021-02-02 08时,25.55,-4.06,4,41.51,39.56,,,,,,,,,,,
2021-02-02 09时,23.48,-2.38,6,39.5,37.02,49.81,0.25,26.4,25,0.01,0.61,2.63,2.78,,,
2021-02-02 10时,22.7,-0.2,7,39.92,36.98,49.98,0.6,64.8,62,0.01,1.5,2.57,2.69,120,1,
2021-02-02 11时,21.88,1.58,6,40.58,37.83,49.95,0.56,57.6,56,0.01,1.33,2.7,2.78,,,
2021-02-02 12时,21.74,2.21,5,40.08,37.73,50.06,0.48,46.8,46,0.01,1.08,2.85,2.9,,,
2021-02-02 13时,21.48,2.7,5,39.83,37.46,49.93,0.49,48,45,0.01,1.11,2.84,3.02,,,
2021-02-02 14时,22.48,2.67,5,38.95,36.41,,,,,,,,,,,
2021-02-02 15时,25.59,1.97,6,38.77,36.01,,,,,,,,,,,
2021-02-02 16时,30.36,1.38,6,39.35,36.64,49.65,0.08,9.6,8,0,0.22,2.31,2.78,,,
2021-02-02 17时,34.7,0.01,5,40.8,38.74,49.99,0.42,46.8,44,0.01,1.08,2.49,2.65,,,
2021-02-02 18时,37.84,-0.58,3,40.54,39.2,50.19,0.28,31.2,29,0.01,0.72,2.49,2.68,,,
2021-02-02 19时,39.04,-0.72,3,39.93,38.59,50.1,0.29,31.2,29,0.01,0.72,2.58,2.78,,,
2021-02-02 20时,37.91,-0.77,3,39.32,37.95,50.11,0.29,31.2,29,0.01,0.72,2.58,2.78,,,
2021-02-02 21时,37.37,-1.07,3,38.53,37.17,50.17,0.29,30,28,0.01,0.69,2.69,2.88,,,
2021-02-02 22时,39.97,-1.36,4,38.38,36.69,50.03,0.35,38.4,36,0.01,0.89,2.53,2.7,,,
2021-02-02 23时,42.02,-1.36,4,39.07,37.18,50.07,0.39,44.4,43,0.01,1.02,2.44,2.52,,,
2021-02-03 00时,49.3,-1.53,3,39.79,38.04,50.06,0.37,39.6,38,0.01,0.91,2.6,2.7,,,
2021-02-03 01时,51.21,-1.46,3,39.87,38.17,50.06,0.35,39.6,37,0.01,0.91,2.46,2.63,,,
2021-02-03 02时,53.34,-1.65,3,39.9,38.21,50.11,0.35,39.6,37,0.01,0.91,2.46,2.63,,,
2021-02-03 03时,55.4,-1.47,3,39.9,38.21,50.03,0.35,39.6,37,0.01,0.91,2.46,2.63,,,
2021-02-03 04时,56.93,-0.88,2,39.39,37.98,50.09,0.3,30,29,0.01,0.69,2.78,2.87,,,
2021-02-03 05时,58.11,-0.53,2,38.42,37.08,50.21,0.29,30,29,0.01,0.69,2.69,2.78,,,
2021-02-03 06时,56.64,-0.18,3,37.97,36.3,49.96,0.35,37.2,36,0.01,0.86,2.61,2.7,,,
2021-02-03 07时,56.18,0.31,3,37.73,35.96,49.97,0.37,37.2,36,0.01,0.86,2.76,2.85,,,
2021-02-03 08时,63.68,0.7,3,37.31,35.63,50.05,0.35,36,35,0.01,0.83,2.7,2.78,332,1,
2021-02-03 09时,70.5,1.4,5,36.38,34.15,49.87,0.45,48,46,0.01,1.11,2.6,2.72,583,2,
2021-02-03 10时,76.22,2.65,8,38.35,35.04,49.71,0.67,76.8,74,0.02,1.77,2.42,2.52,1677,6,
2021-02-03 11时,73.09,4.18,6,40.31,37.46,49.8,0.56,60,58,0.01,1.38,2.59,2.68,1594,6,
2021-02-03 12时,63.64,5.38,3,39.11,37.18,50.01,0.41,38.4,36,0.01,0.89,2.97,3.16,647,2,
2021-02-03 13时,49.39,6.42,3,37.99,36.01,49.92,0.25,25.2,24,0.01,0.58,2.76,2.89,532,2,
2021-02-03 14时,44.34,5.94,4,38.77,36.38,49.92,0.08,7.2,7,0,0.17,3.09,3.17,,,
2021-02-03 15时,39.76,5.51,4,39.42,37.11,49.91,0.23,22.8,22,0.01,0.53,2.8,2.9,,,
2021-02-03 16时,35.82,4.16,4,39.83,37.49,50.03,0.23,24,22,0.01,0.55,2.66,2.9,,,
2021-02-03 17时,39.9,2.46,3,40.18,38.21,50.13,0.3,30,29,0.01,0.69,2.78,2.87,,,
2021-02-03 18时,38.31,1.5,3,40,38.2,50.14,0.38,39.6,37,0.01,0.91,2.67,2.85,,,
2021-02-03 19时,36.02,0.82,3,39.87,38.11,50.04,0.37,39.6,37,0.01,0.91,2.6,2.78,,,
2021-02-03 20时,36.36,0.26,3,39.7,37.99,50.08,0.36,39.6,37,0.01,0.91,2.53,2.7,,,
2021-02-03 21时,32.62,0,3,39.61,37.89,50.01,0.36,38.4,36,0.01,0.89,2.6,2.78,,,
2021-02-03 22时,29.34,-0.22,4,39.51,37.81,49.99,0.36,38.4,37,0.01,0.89,2.6,2.7,,,
2021-02-03 23时,35,-0.6,4,39.48,37.76,49.98,0.36,37.2,36,0.01,0.86,2.69,2.78,,,
2021-02-04 00时,34.95,-1.11,4,39.39,37.67,49.93,0.02,3.6,3,0,0.08,1.54,1.85,,,
2021-02-04 01时,31.11,-1.34,4,39.19,37.46,49.95,0.37,38.4,36,0.01,0.89,2.68,2.85,,,
2021-02-04 02时,25.81,-1.24,4,39,37.28,49.88,0.36,38.4,37,0.01,0.89,2.6,2.7,,,
2021-02-04 03时,21.16,-0.62,4,38.92,37.17,49.87,0.36,39.6,37,0.01,0.91,2.53,2.7,,,
2021-02-04 04时,18.92,0.03,4,38.92,37.16,49.93,0.37,38.4,37,0.01,0.89,2.68,2.78,,,
2021-02-04 05时,21.74,-0.67,4,38.89,37.16,49.91,0.36,38.4,36,0.01,0.89,2.6,2.78,,,
2021-02-04 06时,22.98,-0.88,4,38.86,37.06,49.92,0.37,39.6,38,0.01,0.91,2.6,2.7,,,
2021-02-04 07时,23.46,-0.63,4,39.6,37.5,49.92,0.44,46.8,45,0.01,1.08,2.61,2.72,,,
2021-02-04 08时,23.44,0.65,4,40.13,37.89,49.93,0.47,46.8,45,0.01,1.08,2.79,2.9,,,
2021-02-04 09时,20.64,2.5,4,39.38,36.99,49.71,0.49,46.8,44,0.01,1.08,2.91,3.09,,,
2021-02-04 10时,25.28,3.45,4,38.88,36.57,49.83,0.47,46.8,45,0.01,1.08,2.79,2.9,,,
2021-02-04 11时,30.04,4.74,4,38.96,36.67,49.76,0.48,46.8,45,0.01,1.08,2.85,2.96,124,1,
2021-02-04 12时,27.05,5.26,4,39.36,36.96,49.94,0.5,48,45,0.01,1.11,2.89,3.09,,,
2021-02-04 13时,24.53,5.72,3,39.51,37.32,49.95,0.46,42,39,0.01,0.97,3.04,3.28,,,
2021-02-04 14时,23.45,5.57,5,39.68,37.07,49.58,0.54,51.6,50,0.01,1.19,2.91,3,,,
2021-02-04 15时,22.23,5.34,4,40.57,38.11,49.78,0.5,48,45,0.01,1.11,2.89,3.09,,,
