采集时间,环境湿度（%）,环境温度（℃）,设备启动数量（台）,供水温度（℃）,回水温度（℃）,瞬时流量（m3/h）,总制热量（GJ）,总耗电量（kW·h),机组耗电(kW·h）,热单耗（GJ/㎡）,电单耗(kW·h/m2）,系统COP,机组COP,除霜时间（s）,除霜次数,
2021-02-14 17时,87.59,7.35,4,37.47,35.66,49.35,0.36,34.8,33,0.01,0.8,2.87,3.03,407,1,
2021-02-14 18时,94.14,6.06,4,38.34,36.6,49.33,0.36,33.6,33,0.01,0.78,2.98,3.03,23,1,
2021-02-14 19时,94.6,4.91,4,38.34,36.79,49.34,0.32,32.4,30,0.01,0.75,2.74,2.96,,,
2021-02-14 20时,95.63,3.13,4,38,36.71,49.28,0.26,32.4,30,0.01,0.75,2.23,2.41,1551,4,
2021-02-14 21时,95.6,3.11,5,37.9,36.32,49.3,0.32,39.6,38,0.01,0.91,2.24,2.34,1393,4,
2021-02-14 22时,95.45,0.41,6,38.44,36.76,49.28,0.34,46.8,45,0.01,1.08,2.02,2.1,1981,5,
2021-02-14 23时,95.17,-1.68,7,39,37.08,49.16,0.39,55.2,53,0.01,1.27,1.96,2.04,12648,7,
2021-02-15 02时,95.07,-3.03,6,39.41,37.51,49.08,0.1,13.2,13,0,0.3,2.1,2.14,814,2,
2021-02-15 05时,94.92,-4.36,6,40.37,38.27,48.96,0.37,51.6,50,0.01,1.19,1.99,2.06,823,2,
2021-02-15 06时,94.87,-4.8,6,40.25,38.33,49.13,0.37,52.8,50,0.01,1.22,1.95,2.06,1436,4,
2021-02-15 07时,94.1,-5.39,6,40.27,38.35,49.1,0.37,52.8,50,0.01,1.22,1.95,2.06,2408,5,
2021-02-15 08时,91.56,-4.99,7,40.12,37.78,49.03,0.47,60,59,0.01,1.38,2.18,2.21,1878,5,
2021-02-15 09时,82.39,-3.81,9,40.74,37.78,49.22,0.6,75.6,73,0.01,1.74,2.2,2.28,2214,6,
2021-02-15 10时,67.89,-1.67,7,41.33,38.58,49.08,0.56,66,64,0.01,1.52,2.36,2.43,1044,3,
2021-02-15 11时,53.51,0.46,6,39.73,37.11,49.13,0.53,56.4,54,0.01,1.3,2.61,2.73,949,3,
2021-02-15 12时,40.05,1.47,7,39.22,36.22,48.99,0.6,62.4,59,0.01,1.44,2.67,2.82,489,2,
2021-02-15 13时,31.98,2.65,7,39.51,36.46,49,0.62,63.6,61,0.01,1.47,2.71,2.82,330,1,
2021-02-15 14时,28.38,2.99,6,40.07,37.06,48.98,0.6,58.8,57,0.01,1.36,2.83,2.92,,,
2021-02-15 15时,25.26,2.82,6,40.15,37.3,48.99,0.57,56.4,54,0.01,1.3,2.81,2.93,,,
2021-02-15 16时,27.33,2.4,6,40.34,37.5,48.94,0.57,56.4,54,0.01,1.3,2.81,2.93,,,
2021-02-15 17时,29.26,1.38,4,40.3,38.36,49.24,0.39,38.4,37,0.01,0.89,2.82,2.93,,,
2021-02-15 18时,28.55,0.76,3,39.18,37.58,49.36,0.33,33.6,31,0.01,0.78,2.73,2.96,,,
2021-02-15 19时,32.6,0.39,5,39.37,37.25,49.23,0.43,45.6,43,0.01,1.05,2.62,2.78,,,
2021-02-15 20时,41.28,-0.18,4,39.62,37.69,49.28,0.4,39.6,38,0.01,0.91,2.81,2.92,,,
2021-02-15 21时,37.55,0.49,4,39.34,37.53,49.22,0.38,38.4,36,0.01,0.89,2.75,2.93,,,
2021-02-15 22时,46.17,0.47,4,39.23,37.42,49.35,0.38,38.4,36,0.01,0.89,2.75,2.93,,,
2021-02-15 23时,57.77,-0.24,4,39.14,37.35,49.27,0.36,38.4,35,0.01,0.89,2.6,2.86,,,
2021-02-16 00时,60.13,-0.03,4,38.94,37.16,,,,,,,,,,,
2021-02-16 01时,61.58,0.29,4,38.59,36.82,49.22,0.35,36,34,0.01,0.83,2.7,2.86,281,1,
2021-02-16 02时,68.23,0.17,5,38.27,36.32,49.14,0.4,48,46,0.01,1.11,2.31,2.42,937,3,
2021-02-16 03时,70.94,-0.12,6,39.22,36.7,49.08,0.45,50.4,48,0.01,1.16,2.48,2.6,,,
2021-02-16 07时,82.09,-1.89,7,39.16,36.89,49.2,0.46,57.6,54,0.01,1.33,2.22,2.37,1449,4,
2021-02-16 08时,80.2,-1.4,7,39.94,37.4,49.09,0.51,58.8,57,0.01,1.36,2.41,2.49,2131,6,
2021-02-16 09时,70.66,-1.36,8,40.04,37.16,49.21,0.57,70.8,68,0.01,1.63,2.24,2.33,1040,3,
2021-02-16 10时,46.97,0.33,7,40.87,37.92,49.09,0.58,61.2,59,0.01,1.41,2.63,2.73,,,
2021-02-16 11时,41.42,1.23,6,40.36,37.61,49.24,0.56,55.2,53,0.01,1.27,2.82,2.94,,,
2021-02-16 12时,37.01,1.23,6,39.88,37.09,49.1,0.56,55.2,54,0.01,1.27,2.82,2.88,,,
2021-02-16 13时,32.82,1.52,6,39.55,36.79,49.26,0.56,55.2,53,0.01,1.27,2.82,2.94,,,
2021-02-16 14时,34.1,1.2,6,39.79,37.07,49.1,0.56,56.4,53,0.01,1.3,2.76,2.94,,,
2021-02-16 15时,26.12,0.22,6,40.08,37.42,49.15,0.53,55.2,54,0.01,1.27,2.67,2.73,,,
2021-02-16 16时,28.17,-0.73,6,40.79,38.23,49.15,0.51,56.4,54,0.01,1.3,2.51,2.62,,,
2021-02-16 17时,27.52,-2.22,4,41.15,39.43,49.29,0.34,38.4,37,0.01,0.89,2.46,2.55,,,
2021-02-16 18时,30.25,-3.69,3,40.16,38.81,49.4,0.27,31.2,29,0.01,0.72,2.4,2.59,,,
2021-02-16 19时,32.03,-5.12,5,40.12,38.29,49.33,0.36,45.6,43,0.01,1.05,2.19,2.33,230,1,
2021-02-16 20时,34.01,-6.11,5,40.68,38.74,49.1,0.38,45.6,44,0.01,1.05,2.31,2.4,,,
2021-02-16 21时,36.89,-6.89,5,41,39.09,49.33,0.37,45.6,43,0.01,1.05,2.25,2.39,,,
2021-02-16 23时,32.98,-7.15,4,40.06,38.48,49.35,0.31,37.2,35,0.01,0.86,2.31,2.46,,,
2021-02-17 00时,27.15,-6.84,4,39.56,38,,,,,,,,,,,
2021-02-17 01时,27.5,-6.99,5,39.36,37.64,49.42,0.29,34.8,34,0.01,0.8,2.31,2.37,,,
2021-02-17 02时,28.31,-7.24,5,39.78,37.91,49.22,0.38,45.6,43,0.01,1.05,2.31,2.45,,,
2021-02-17 03时,29.7,-7.49,5,40.08,38.19,49.26,0.38,45.6,43,0.01,1.05,2.31,2.45,,,
2021-02-17 04时,31.08,-7.68,5,40.29,38.38,49.35,0.37,46.8,44,0.01,1.08,2.2,2.34,,,
2021-02-17 05时,32.72,-7.91,5,40.43,38.51,49.27,0.37,45.6,44,0.01,1.05,2.25,2.34,,,
2021-02-17 06时,33.68,-8.04,5,40.54,38.63,49.29,0.37,45.6,43,0.01,1.05,2.25,2.39,,,
2021-02-17 07时,35.29,-8.06,6,41.11,38.96,49.17,0.41,54,52,0.01,1.25,2.11,2.19,202,1,
2021-02-17 08时,34.57,-7.06,6,42.1,39.77,49.27,0.45,56.4,53,0.01,1.3,2.22,2.36,,,
2021-02-17 09时,31.36,-5.35,5,41.7,39.51,49.35,0.43,46.8,45,0.01,1.08,2.55,2.65,,,
2021-02-17 10时,28.84,-3.28,5,40.8,38.63,49.25,0.43,46.8,45,0.01,1.08,2.55,2.65,,,
2021-02-17 11时,26.55,-1.47,5,40.36,38.22,49.32,0.42,46.8,44,0.01,1.08,2.49,2.65,127,1,
2021-02-17 12时,24.14,-0.31,5,40.18,38.04,49.22,0.43,46.8,45,0.01,1.08,2.55,2.65,,,
2021-02-17 13时,22.25,0.32,5,40.37,38.17,49.21,0.45,48,46,0.01,1.11,2.6,2.72,,,
2021-02-17 14时,21.19,0.16,5,40.6,38.38,49.23,0.44,48,46,0.01,1.11,2.55,2.66,,,
2021-02-17 15时,21.69,-0.54,5,40.79,38.58,49.18,0.44,48,46,0.01,1.11,2.55,2.66,,,
2021-02-17 16时,24.28,-1.76,5,40.88,38.71,49.19,0.42,48,46,0.01,1.11,2.43,2.54,,,
2021-02-17 17时,29.19,-3.45,5,41.42,39.58,49.37,0.37,44.4,42,0.01,1.02,2.31,2.45,,,
2021-02-17 18时,32.79,-4.75,4,41.56,39.93,49.41,0.33,38.4,36,0.01,0.89,2.39,2.55,,,
2021-02-17 19时,33.34,-5.21,4,41.51,39.85,49.4,0.32,38.4,37,0.01,0.89,2.31,2.4,,,
2021-02-17 20时,31.39,-5.17,4,41.28,39.64,49.43,0.31,37.2,35,0.01,0.86,2.31,2.46,,,
2021-02-17 21时,30.2,-4.95,3,40.52,39.21,49.59,0.25,30,28,0.01,0.69,2.31,2.48,,,
2021-02-17 22时,31.51,-5.09,3,39.83,38.57,49.55,0.25,28.8,28,0.01,0.66,2.41,2.48,,,
2021-02-17 23时,31.59,-5.08,3,39.23,38,49.43,0.25,28.8,27,0.01,0.66,2.41,2.57,,,
2021-02-18 00时,32.29,-5.21,4,38.93,37.56,,,,,,,,,,,
2021-02-18 01时,28.33,-4.78,4,39.37,37.84,49.49,0.26,30,29,0.01,0.69,2.41,2.49,,,
2021-02-18 02时,17.56,-3.88,4,39.86,38.26,49.48,0.32,38.4,36,0.01,0.89,2.31,2.47,,,
2021-02-18 03时,16.84,-3.07,4,40.27,38.67,49.49,0.31,37.2,34,0.01,0.86,2.31,2.53,,,
2021-02-18 04时,20.08,-2.38,3,39.9,38.58,49.58,0.27,30,28,0.01,0.69,2.5,2.68,,,
2021-02-18 05时,20.89,-2.39,3,39.41,38.11,49.45,0.27,30,28,0.01,0.69,2.5,2.68,,,
2021-02-18 06时,21.2,-1.82,4,38.91,37.48,49.54,0.29,33.6,32,0.01,0.78,2.4,2.52,225,1,
2021-02-18 07时,20.58,-0.67,5,39.76,37.71,49.26,0.42,46.8,44,0.01,1.08,2.49,2.65,,,
2021-02-18 08时,19.62,0.31,5,40.57,38.53,49.37,0.41,43.2,41,0.01,1,2.64,2.78,,,
2021-02-18 09时,21.09,1.67,4,39.12,37.02,49.41,0.43,40.8,38,0.01,0.94,2.93,3.14,,,
2021-02-18 10时,25.44,3.39,6,39.11,36.38,49.22,0.56,55.2,53,0.01,1.27,2.82,2.94,,,
2021-02-18 11时,29.74,5.36,6,40.02,37.14,49.2,0.58,56.4,54,0.01,1.3,2.86,2.98,,,
2021-02-18 12时,31.69,6.48,4,39.38,37.38,49.41,0.41,36,33,0.01,0.83,3.16,3.45,,,
2021-02-18 13时,29.13,7.51,3,37.55,35.84,49.49,0.35,31.2,28,0.01,0.72,3.12,3.47,,,
2021-02-18 14时,24.64,7.96,4,37.08,35.1,49.36,0.4,36,33,0.01,0.83,3.09,3.37,,,
2021-02-18 15时,24.3,7.18,5,37.85,35.51,49.29,0.48,45.6,42,0.01,1.05,2.92,3.17,,,
2021-02-18 16时,29.8,6.26,5,39.02,36.72,49.34,0.46,42,40,0.01,0.97,3.04,3.19,,,
2021-02-18 17时,37.86,4.56,4,39.52,37.65,49.39,0.38,38.4,36,0.01,0.89,2.75,2.93,,,
2021-02-18 18时,40.74,3.77,3,40.14,38.52,49.36,0.32,32.4,31,0.01,0.75,2.74,2.87,,,
2021-02-18 19时,39.01,3.99,3,40.02,38.53,49.41,0.3,30,28,0.01,0.69,2.78,2.98,,,
2021-02-18 20时,43.22,3.65,3,39.55,38.26,49.5,0.27,25.2,24,0.01,0.58,2.98,3.12,,,
2021-02-18 21时,43.92,4.07,2,38.27,37.22,49.41,0.22,20.4,18,0.01,0.47,3,3.4,,,
2021-02-18 22时,44.15,4.49,2,37.11,36.04,49.6,0.22,21.6,19,0.01,0.5,2.83,3.22,,,
2021-02-18 23时,46.3,4.31,3,36.96,35.41,49.45,0.31,32.4,29,0.01,0.75,2.66,2.97,,,
2021-02-19 00时,49.62,4.36,4,38.05,36.19,,,,,,,,,,,
2021-02-19 01时,59.36,4.67,3,38.53,36.98,49.42,0.13,12,11,0,0.28,3.01,3.28,,,
2021-02-19 02时,61.83,5,3,38.26,36.86,49.46,0.29,28.8,27,0.01,0.66,2.8,2.98,241,1,
2021-02-19 03时,60.52,5.15,3,37.96,36.61,49.53,0.28,27.6,26,0.01,0.64,2.82,2.99,336,1,
2021-02-19 04时,56.59,5.08,3,37.44,36.11,49.41,0.27,30,28,0.01,0.69,2.5,2.68,595,2,
2021-02-19 05时,49.94,5.24,4,38.22,36.38,49.41,0.38,38.4,36,0.01,0.89,2.75,2.93,,,
2021-02-19 06时,42,5.75,3,38.8,37.27,49.43,0.32,30,28,0.01,0.69,2.96,3.17,,,
2021-02-19 07时,34.42,6.66,3,38.64,37.19,49.37,0.3,28.8,27,0.01,0.66,2.89,3.09,,,
2021-02-19 08时,32.39,7.41,3,38.75,37.21,49.49,0.32,30,27,0.01,0.69,2.96,3.29,,,
2021-02-19 09时,29.27,9.04,3,38.22,36.61,49.35,0.34,28.8,27,0.01,0.66,3.28,3.5,,,
2021-02-19 10时,26.49,11.66,2,37.27,35.95,49.42,0.26,20.4,18,0.01,0.47,3.54,4.01,,,
2021-02-19 11时,22.78,13.42,3,36.19,34.72,49.31,0.29,24,22,0.01,0.55,3.36,3.66,,,
2021-02-19 12时,20.95,14.24,4,37.13,35.05,49.27,0.41,36,34,0.01,0.83,3.16,3.35,,,
2021-02-19 13时,17.77,14.91,3,37.84,36.06,49.39,0.36,28.8,27,0.01,0.66,3.47,3.7,,,
2021-02-19 14时,20.38,14.17,2,37.42,36,49.33,0.29,22.8,20,0.01,0.53,3.53,4.03,,,
2021-02-19 15时,25.28,13.7,2,36.31,35.04,49.27,0.25,20.4,19,0.01,0.47,3.4,3.65,,,
2021-02-19 16时,27.85,13.33,3,36.39,34.71,49.41,0.34,27.6,26,0.01,0.64,3.42,3.63,,,
2021-02-19 17时,31.25,12.56,3,37.04,35.54,49.44,0.31,26.4,24,0.01,0.61,3.26,3.59,,,
2021-02-19 18时,27.05,12.18,2,36.86,35.72,49.39,0.23,19.2,18,0.01,0.44,3.33,3.55,,,
2021-02-19 19时,24.07,12.02,2,36.48,35.34,49.34,0.23,19.2,17,0.01,0.44,3.33,3.76,,,
2021-02-19 20时,23.09,11.9,2,36.21,35.07,49.32,0.23,19.2,17,0.01,0.44,3.33,3.76,,,
2021-02-19 21时,23.24,11.84,2,35.95,34.81,49.45,0.23,19.2,18,0.01,0.44,3.33,3.55,,,
2021-02-19 22时,22.28,12.02,2,35.92,34.66,49.45,0.26,21.6,20,0.01,0.5,3.34,3.61,,,
2021-02-19 23时,21.21,12.01,2,35.73,34.59,49.4,0.23,18,17,0.01,0.42,3.55,3.76,,,
2021-02-20 00时,22.2,11.21,2,35.43,34.32,,,,,,,,,,,
2021-02-20 01时,22.64,10.54,2,35.16,34.05,,,,,,,,,,,
2021-02-20 02时,21.89,10.09,2,34.93,33.8,49.3,0.11,10.8,10,0,0.25,2.83,3.06,,,
2021-02-20 03时,20.73,9.75,3,35.64,34.14,49.34,0.3,26.4,24,0.01,0.61,3.16,3.47,,,
2021-02-20 04时,19.06,10.21,3,36.55,35.1,49.35,0.29,25.2,23,0.01,0.58,3.2,3.5,,,
2021-02-20 05时,17.97,10.71,2,36.41,35.25,49.36,0.23,20.4,18,0.01,0.47,3.13,3.55,,,
2021-02-20 06时,17.71,10.52,2,36.1,34.95,49.27,0.24,19.2,18,0.01,0.44,3.47,3.7,,,
2021-02-20 07时,15.73,11.82,3,36.52,35.05,49.34,0.29,25.2,24,0.01,0.58,3.2,3.36,,,
2021-02-20 08时,15.21,12.63,3,37.6,36.02,49.39,0.32,27.6,25,0.01,0.64,3.22,3.56,,,
2021-02-20 09时,14.18,14.23,3,37.75,36.2,49.3,0.31,25.2,22,0.01,0.58,3.42,3.91,,,
2021-02-20 10时,14.28,16.18,2,36.85,35.57,49.28,0.25,20.4,17,0.01,0.47,3.4,4.08,,,
2021-02-20 11时,11.81,17.43,2,36.23,34.84,49.39,0.28,22.8,21,0.01,0.53,3.41,3.7,,,
2021-02-20 12时,11.11,17.63,3,36.86,35.14,49.35,0.34,27.6,26,0.01,0.64,3.42,3.63,,,
2021-02-20 13时,11.42,17.4,3,37.65,36.11,49.43,0.32,24,23,0.01,0.55,3.7,3.86,,,
2021-02-20 14时,11.52,17.38,2,37.46,36.28,49.3,0.24,19.2,17,0.01,0.44,3.47,3.92,,,
2021-02-20 15时,12.24,17.26,2,37.37,36.21,49.3,0.23,18,17,0.01,0.42,3.55,3.76,,,
2021-02-20 16时,15.25,16.65,3,37.72,36.29,49.31,0.29,22.8,21,0.01,0.53,3.53,3.84,,,
2021-02-20 17时,20.11,15.19,2,37.21,36.08,49.26,0.23,19.2,17,0.01,0.44,3.33,3.76,,,
2021-02-20 18时,22.9,14.09,2,36.64,35.5,49.3,0.23,19.2,16,0.01,0.44,3.33,3.99,,,
2021-02-20 19时,20.86,14.26,2,36.23,34.96,49.3,0.26,21.6,20,0.01,0.5,3.34,3.61,,,
2021-02-20 20时,22.07,14.18,3,36.95,35.41,49.36,0.31,26.4,24,0.01,0.61,3.26,3.59,,,
2021-02-20 21时,23.6,14.31,1,35.98,35.17,49.29,0.16,12,10,0,0.28,3.7,4.44,,,
2021-02-20 22时,23.34,14.18,2,34.84,33.76,49.35,0.21,18,16,0,0.42,3.24,3.65,,,
2021-02-20 23时,23.86,13.64,3,34.92,33.59,49.32,0.26,22.8,20,0.01,0.53,3.17,3.61,,,
2021-02-21 00时,24.25,13.58,3,35.94,34.32,,,,,,,,,,,
2021-02-21 01时,24.38,13.52,2,36.35,35.05,,,,,,,,,,,
2021-02-21 02时,27,12.88,2,35.91,34.75,49.36,0.23,19.2,17,0.01,0.44,3.33,3.76,,,
2021-02-21 03时,27.69,12.71,2,35.57,34.39,49.38,0.23,19.2,18,0.01,0.44,3.33,3.55,,,
2021-02-21 04时,24.24,12.82,2,35.34,34.16,49.32,0.24,19.2,17,0.01,0.44,3.47,3.92,,,
2021-02-21 05时,18.98,13.64,2,35.23,34.05,49.4,0.23,19.2,17,0.01,0.44,3.33,3.76,,,
2021-02-21 06时,17.9,13.75,3,35.7,34.18,49.35,0.3,25.2,24,0.01,0.58,3.31,3.47,,,
2021-02-21 07时,18.56,13.7,3,36.57,34.91,49.26,0.33,27.6,26,0.01,0.64,3.32,3.53,,,
2021-02-21 08时,17.4,14.69,3,37.48,35.81,49.32,0.33,28.8,27,0.01,0.66,3.18,3.4,,,
2021-02-21 09时,16.17,16.48,2,37.5,36.15,49.38,0.27,21.6,19,0.01,0.5,3.47,3.95,,,
2021-02-21 10时,15.53,19.25,2,36.6,35.49,49.29,0.19,13.2,12,0,0.3,4,4.4,,,
2021-02-21 11时,14.67,21.27,3,36.58,34.96,49.21,0.32,26.4,24,0.01,0.61,3.37,3.7,,,
2021-02-21 12时,14.64,22.16,2,37.71,36.21,49.21,0.3,24,22,0.01,0.55,3.47,3.79,,,
2021-02-21 13时,12.97,22.36,1,36.36,35.82,49.32,0.1,7.2,5,0,0.17,3.86,5.56,,,
2021-02-21 14时,11.1,22.29,1,35.28,34.54,49.31,0.14,13.2,11,0,0.3,2.95,3.54,,,
2021-02-21 15时,12.69,21.14,2,35.87,34.74,49.33,0.23,18,16,0.01,0.42,3.55,3.99,,,
2021-02-21 16时,17.83,19.62,2,36.64,35.64,49.24,0.2,18,15,0,0.42,3.09,3.7,,,
2021-02-21 17时,24.72,17.56,1,36.09,35.58,49.31,0.1,8.4,8,0,0.19,3.31,3.47,,,
2021-02-21 18时,33.09,15.44,1,35.52,34.85,49.29,0.13,12,10,0,0.28,3.01,3.61,,,
2021-02-21 19时,36.36,14.9,2,35.98,35,49.36,0.18,16.8,15,0,0.39,2.98,3.33,,,
2021-02-21 20时,36.1,14.79,1,35.71,35.16,49.25,0.1,9.6,8,0,0.22,2.89,3.47,,,
2021-02-21 21时,38.39,14.27,1,35.17,34.61,49.34,0.11,9.6,8,0,0.22,3.18,3.82,,,
2021-02-21 22时,34.64,14.3,1,34.65,34.09,49.38,0.11,10.8,9,0,0.25,2.83,3.4,,,
2021-02-21 23时,28.6,13.86,1,34.22,33.64,49.36,0.1,10.8,8,0,0.25,2.57,3.47,,,
2021-02-22 00时,23.67,13.65,2,34.67,33.69,,,,,,,,,,,
2021-02-22 01时,24.02,13.7,2,35.53,34.52,,,,,,,,,,,
2021-02-22 02时,26.39,12.8,1,36.17,35.23,49.26,0.13,12,9,0,0.28,3.01,4.01,,,
2021-02-22 03时,38.08,10.67,0,35.53,35,49.28,0.11,9.6,9,0,0.22,3.18,3.4,,,
2021-02-22 04时,46.98,7.21,3,35.59,34.48,49.12,0.22,25.2,23,0.01,0.58,2.43,2.66,,,
2021-02-22 05时,54.49,4.98,5,38.15,36.25,49.17,0.39,42,40,0.01,0.97,2.58,2.71,,,
2021-02-22 06时,55,3.71,2,39.31,38.15,49.42,0.24,24,23,0.01,0.55,2.78,2.9,,,
2021-02-22 07时,49.84,3.28,2,38.82,37.89,49.42,0.19,21.6,18,0,0.5,2.44,2.93,,,
2021-02-22 08时,44.83,4.14,3,38.36,37.23,49.41,0.24,24,21,0.01,0.55,2.78,3.17,,,
2021-02-22 09时,39.95,5.69,4,38.04,36.48,49.27,0.32,36,33,0.01,0.83,2.47,2.69,281,1,
2021-02-22 10时,38.82,6.54,4,39.36,37.42,49.38,0.41,39.6,38,0.01,0.91,2.88,3,,,
2021-02-22 11时,36.65,7.78,2,38.84,37.78,49.34,0.22,21.6,19,0.01,0.5,2.83,3.22,,,
2021-02-22 12时,33.6,8.53,2,37.89,36.89,49.43,0.21,20.4,18,0,0.47,2.86,3.24,,,
2021-02-22 13时,31.2,8.5,2,37.33,36.24,49.35,0.22,21.6,20,0.01,0.5,2.83,3.06,,,
2021-02-22 14时,28.49,8.48,3,38.05,36.7,49.33,0.27,27.6,25,0.01,0.64,2.72,3,,,
2021-02-22 15时,28.77,7.71,3,38.91,37.73,49.42,0.24,25.2,22,0.01,0.58,2.65,3.03,,,
2021-02-22 16时,32.21,6.06,2,38.65,37.71,49.43,0.19,20.4,18,0,0.47,2.59,2.93,,,
2021-02-22 17时,33.48,4.48,2,38.33,37.44,49.31,0.19,20.4,19,0,0.47,2.59,2.78,,,
2021-02-22 18时,35.82,3.19,3,38.73,37.58,49.38,0.24,26.4,25,0.01,0.61,2.53,2.67,,,
2021-02-22 19时,36.71,2.37,3,38.74,37.61,49.42,0.23,25.2,24,0.01,0.58,2.54,2.66,,,
2021-02-22 20时,36.36,1.97,3,39.25,37.92,49.31,0.28,28.8,27,0.01,0.66,2.7,2.88,,,
2021-02-22 21时,35.28,1.94,2,39.18,38.15,49.34,0.22,22.8,20,0.01,0.53,2.68,3.06,,,
2021-02-22 22时,36.05,1.8,2,38.49,37.56,49.3,0.2,20.4,18,0,0.47,2.72,3.09,,,
2021-02-22 23时,35.49,1.74,2,37.89,36.95,49.35,0.19,19.2,18,0,0.44,2.75,2.93,,,
2021-02-23 00时,36.9,0.89,3,37.67,36.56,,,,,,,,,,,
2021-02-23 01时,33.34,0.47,4,38.21,36.84,,,,,,,,,,,
2021-02-23 02时,26.74,1.8,3,39.35,38.04,49.42,0.17,16.8,16,0,0.39,2.81,2.95,,,
2021-02-23 03时,25.17,1.93,2,38.86,37.94,49.31,0.19,20.4,18,0,0.47,2.59,2.93,,,
2021-02-23 04时,29.81,1.13,2,38.25,37.33,49.33,0.19,21.6,18,0,0.5,2.44,2.93,,,
2021-02-23 05时,27.99,1.12,3,37.9,36.77,49.38,0.24,26.4,24,0.01,0.61,2.53,2.78,,,
2021-02-23 06时,27.59,0.54,4,38.55,37.07,49.37,0.31,36,33,0.01,0.83,2.39,2.61,,,
2021-02-23 07时,22.94,1.36,4,39.9,38.24,49.31,0.34,37.2,35,0.01,0.86,2.54,2.7,,,
2021-02-23 08时,18.63,3.66,2,40.1,38.97,49.37,0.23,22.8,20,0.01,0.53,2.8,3.19,,,
2021-02-23 09时,17.73,5.3,2,39.43,38.44,49.39,0.21,21.6,18,0,0.5,2.7,3.24,,,
2021-02-23 10时,19.79,5.88,2,38.86,37.82,49.37,0.22,20.4,18,0.01,0.47,3,3.4,,,
2021-02-23 11时,18.26,7,2,38.23,37.19,49.31,0.21,20.4,19,0,0.47,2.86,3.07,,,
2021-02-23 12时,19.05,8.23,2,37.84,36.8,49.43,0.22,19.2,18,0.01,0.44,3.18,3.4,,,
2021-02-23 13时,18.34,8.43,2,37.59,36.54,49.48,0.21,20.4,19,0,0.47,2.86,3.07,,,
2021-02-23 14时,18.59,8.13,2,37.55,36.52,49.27,0.21,20.4,18,0,0.47,2.86,3.24,,,
2021-02-23 15时,20.68,8.07,2,37.58,36.57,49.38,0.21,20.4,19,0,0.47,2.86,3.07,,,
2021-02-23 16时,26.38,7.05,2,37.63,36.63,49.23,0.21,20.4,18,0,0.47,2.86,3.24,,,
2021-02-23 17时,30.32,5.12,3,38.12,36.78,49.5,0.27,31.2,28,0.01,0.72,2.4,2.68,,,
2021-02-23 18时,35.29,3.27,4,39.85,38.31,49.39,0.32,34.8,33,0.01,0.8,2.55,2.69,,,
2021-02-23 19时,40.89,2.81,2,39.88,38.94,49.35,0.18,20.4,19,0,0.47,2.45,2.63,,,
2021-02-23 20时,42.63,2.43,2,39.31,38.4,49.36,0.17,19.2,17,0,0.44,2.46,2.78,,,
2021-02-23 21时,43.72,1.72,2,38.82,37.9,49.41,0.19,20.4,18,0,0.47,2.59,2.93,,,
2021-02-23 22时,42.77,1.51,2,38.35,37.45,49.43,0.19,20.4,18,0,0.47,2.59,2.93,,,
2021-02-23 23时,40.56,1.49,2,37.88,36.95,49.44,0.18,20.4,18,0,0.47,2.45,2.78,,,
2021-02-24 00时,39.05,1.25,3,37.61,36.5,,,,,,,,,,,
2021-02-24 01时,36.92,0.85,3,38.1,36.8,,,,,,,,,,,
2021-02-24 02时,42.7,0.37,3,38.46,37.23,49.34,0.2,24,21,0,0.55,2.31,2.65,,,
2021-02-24 03时,55.94,-0.7,3,38.56,37.34,49.46,0.25,28.8,27,0.01,0.66,2.41,2.57,,,
2021-02-24 04时,65.62,-0.07,3,38.73,37.48,49.42,0.26,28.8,27,0.01,0.66,2.51,2.67,,,
2021-02-24 05时,52.72,0.34,3,38.52,37.48,49.32,0.21,26.4,26,0,0.61,2.21,2.24,812,3,
2021-02-24 06时,43.5,0.37,4,38.57,37.18,49.28,0.28,33.6,32,0.01,0.78,2.31,2.43,,,
2021-02-24 07时,38.12,0.95,4,39.61,37.86,49.32,0.35,40.8,38,0.01,0.94,2.38,2.56,,,
2021-02-24 08时,42.46,1.13,3,40.51,39.02,49.35,0.29,32.4,29,0.01,0.75,2.49,2.78,,,
2021-02-24 09时,42.95,1.32,2,39.08,37.98,49.38,0.23,22.8,21,0.01,0.53,2.8,3.04,,,
2021-02-24 10时,44.72,1.79,4,39.22,37.45,46.26,0.34,36,35,0.01,0.83,2.62,2.7,,,
2021-02-24 11时,44.37,2.24,4,39.81,37.89,45.52,0.36,37.2,36,0.01,0.86,2.69,2.78,,,
2021-02-24 12时,47.37,2.25,4,40.18,38.27,45.47,0.36,37.2,36,0.01,0.86,2.69,2.78,,,
2021-02-24 13时,51.12,2.5,3,40.23,38.56,45.51,0.31,31.2,29,0.01,0.72,2.76,2.97,,,
2021-02-24 14时,53.16,1.66,3,39.51,37.98,45.58,0.29,27.6,27,0.01,0.64,2.92,2.98,,,
2021-02-24 15时,55.17,1.39,4,38.9,37.02,45.31,0.36,38.4,37,0.01,0.89,2.6,2.7,233,1,
2021-02-24 16时,67.49,0.1,4,39.11,37.23,45.37,0.35,38.4,37,0.01,0.89,2.53,2.63,277,1,
2021-02-24 17时,70.29,-0.06,6,39.87,37.65,45.2,0.42,51.6,50,0.01,1.19,2.26,2.33,827,3,
