ÈÈ±Ã±àºÅ,¹¤×÷×´Ì¬,½áÊøµç±íÊý(kWh),½áÊøÈÈ±íÊý(MJ),ÓÃµçÁ¿(kWh),ÖÆÈÈÁ¿(MJ),ÔËÐÐÊ±¼ä
HT100008,³ýËª×´Ì¬,11991.16,111540.34,0.36,-4.66,338
HT100008,ÖÆÈÈ×´Ì¬,11990.8,111545,11.93,137.08,4758
HT100008,³ýËª×´Ì¬,11978.87,111407.92,0.36,-4.27,376
HT100008,ÖÆÈÈ×´Ì¬,11978.51,111412.19,14.79,167.92,5834
HT100008,³ýËª×´Ì¬,11963.72,111244.27,0.36,-3.93,345
HT100008,ÖÆÈÈ×´Ì¬,11963.36,111248.2,14.12,164.83,5557
HT100008,³ýËª×´Ì¬,11949.24,111083.37,0.4,-2.69,419
HT100008,ÖÆÈÈ×´Ì¬,11948.84,111086.06,2.47,25.32,1091
HT100008,´ý»ú×´Ì¬,11946.37,111060.74,0.74,0.74,28744
HT100008,ÖÆÈÈ×´Ì¬,11945.63,111060,11.71,134.36,4675
HT100008,³ýËª×´Ì¬,11933.92,110925.64,0.4,-4.3,381
HT100008,ÖÆÈÈ×´Ì¬,11933.52,110929.94,13.73,155.99,5450
HT100008,³ýËª×´Ì¬,11919.79,110773.95,0.36,-4.76,374
HT100008,ÖÆÈÈ×´Ì¬,11919.43,110778.71,13.84,156.14,5466
HT100008,³ýËª×´Ì¬,11905.59,110622.57,0.33,-4.6,344
HT100008,ÖÆÈÈ×´Ì¬,11905.26,110627.17,13.48,156.14,5331
HT100008,³ýËª×´Ì¬,11891.78,110471.03,0.27,-3.46,285
HT100008,ÖÆÈÈ×´Ì¬,11891.51,110474.49,41.79,503.53,16575
HT100008,´ý»ú×´Ì¬,11849.72,109970.96,0.81,0.13,31258
HT100008,³ýËª×´Ì¬,11848.91,109970.83,0,0.82,10
HT100008,ÖÆÈÈ×´Ì¬,11848.91,109970.01,6.01,75.92,2609
HT100008,³ýËª×´Ì¬,11842.9,109894.09,0.09,-0.26,110
HT100008,ÖÆÈÈ×´Ì¬,11842.81,109894.35,5.91,74.45,2604
HT100008,³ýËª×´Ì¬,11836.9,109819.9,0.14,-0.33,145
HT100008,ÖÆÈÈ×´Ì¬,11836.76,109820.23,2.29,27.35,1091
HT100008,´ý»ú×´Ì¬,11834.47,109792.88,1.73,0.39,69176
HT100008,³ýËª×´Ì¬,11832.74,109792.49,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,11832.74,109792.49,22.56,283.42,8755
HT100008,´ý»ú×´Ì¬,11810.18,109509.07,2.01,0,81536
HT100008,³ýËª×´Ì¬,11808.17,109509.07,0.02,0.55,50
HT100008,ÖÆÈÈ×´Ì¬,11808.15,109508.52,144.66,1717.65,57929
HT100008,´ý»ú×´Ì¬,11663.49,107790.87,3,0.36,122094
HT100008,³ýËª×´Ì¬,11660.49,107790.51,0,0,10
HT100008,ÖÆÈÈ×´Ì¬,11660.49,107790.51,6.03,77.44,2611
HT100008,³ýËª×´Ì¬,11654.46,107713.07,0.05,-0.69,98
HT100008,ÖÆÈÈ×´Ì¬,11654.41,107713.76,8.89,116.4,3861
HT100008,´ý»ú×´Ì¬,11645.52,107597.36,5.68,0.52,230092
HT100008,ÖÆÈÈ×´Ì¬,11639.84,107596.84,22.4,274.73,9355
HT100008,³ýËª×´Ì¬,11617.44,107322.11,0.05,0.05,102
HT100008,ÖÆÈÈ×´Ì¬,11617.39,107322.06,6.09,71.33,2535
HT100008,³ýËª×´Ì¬,11611.3,107250.73,0.05,-0.56,100
